t,D0.2,D0.5,D0.8,D1.0,D1.2
16.378189094547274,1.0382055753204462,0.9998528443031033,1.0000029418570422,0.9999986601771776,0.9997861123583732
16.388194097048522,1.0380754750088155,0.999856039913158,1.0000029285029521,0.999998672751587,0.9997872577364229
16.398199099549775,1.0379420906084953,0.9998592180489819,1.0000029150701255,0.9999986852084193,0.9997883969809209
16.408204102051027,1.037805448561144,0.9998623785679904,1.0000029015611465,0.9999986975487691,0.9997895301247128
16.418209104552275,1.0376655755282482,0.9998655213307728,1.0000028879785658,0.9999987097737214,0.9997906572004682
16.428214107053527,1.0375224983875813,0.9998686462010746,1.0000028743249012,0.9999987218843506,0.9997917782406817
16.438219109554776,1.0373762442296544,0.9998717530457802,1.0000028606026372,0.9999987338817213,0.9997928932776737
16.448224112056028,1.0372268403541607,0.9998748417348943,1.000002846814226,0.9999987457668884,0.9997940023435921
16.458229114557277,1.0370743142664127,0.9998779121415238,1.0000028329620871,0.9999987575408968,0.999795105470412
16.46823411705853,1.0369186936737729,0.9998809641418602,1.0000028190486083,0.999998769204782,0.9997962026899375
16.47823911955978,1.0367600064820792,0.9998839976151607,1.0000028050761454,0.9999987807595696,0.9997972940338027
16.48824412206103,1.0365982807920644,0.9998870124437296,1.0000027910470224,0.9999987922062759,0.9997983795334717
16.49824912456228,1.0364335448957702,0.9998900085129,1.0000027769635322,0.9999988035459075,0.9997994592202407
16.50825412706353,1.0362658272729572,0.999892985711015,1.0000027628279369,0.9999988147794622,0.999800533125238
16.518259129564782,1.03609515658751,0.999895943929409,1.0000027486424674,0.9999988259079279,0.9998016012794251
16.52826413206603,1.0359215616838378,0.9998988830623879,1.0000027344093247,0.9999988369322838,0.9998026637135979
16.538269134567283,1.0357450715832721,0.9999018030072117,1.0000027201306791,0.9999988478534998,0.9998037204583875
16.548274137068535,1.0355657154804616,0.9999047036640734,1.0000027058086711,0.9999988586725369,0.9998047715442606
16.558279139569784,1.0353835227397623,0.9999075849360811,1.0000026914454114,0.9999988693903472,0.9998058170015212
16.568284142071036,1.035198522891627,0.9999104467292385,1.0000026770429815,0.999998880007874,0.9998068568603105
16.578289144572285,1.0350107456289914,0.9999132889524245,1.0000026626034337,0.9999988905260516,0.9998078911506086
16.588294147073537,1.034820220803659,0.9999161115173747,1.0000026481287914,0.9999989009458059,0.9998089199022352
16.598299149574785,1.0346269784226847,0.9999189143386613,1.000002633621049,0.9999989112680542,0.99980994314485
16.608304152076037,1.0344310486447563,0.9999216973336733,1.0000026190821731,0.9999989214937052,0.9998109609079542
16.61830915457729,1.034232461776577,0.999924460422597,1.0000026045141017,0.9999989316236592,0.9998119732208905
16.628314157078538,1.034031248269246,0.9999272035283956,1.0000025899187452,0.999998941658808,0.9998129801128451
16.63831915957979,1.0338274387146396,0.9999299265767898,1.0000025752979862,0.9999989516000354,0.9998139816128475
16.64832416208104,1.0336210638417933,0.9999326294962375,1.00000256065368,0.9999989614482169,0.9998149777497718
16.65832916458229,1.0334121545132842,0.9999353122179134,1.0000025459876547,0.9999989712042198,0.9998159685523376
16.66833416708354,1.0332007417216138,0.9999379746756893,1.0000025313017116,0.9999989808689034,0.9998169540491105
16.678339169584792,1.0329868565855937,0.9999406168061136,1.0000025165976254,0.999998990443119,0.9998179342685034
16.688344172086044,1.0327705303467323,0.9999432385483906,1.0000025018771443,0.9999989999277101,0.9998189092387769
16.698349174587293,1.032551794365623,0.999945839844361,1.0000024871419906,0.9999990093235123,0.9998198789880403
16.708354177088545,1.0323306801183367,0.9999484206384808,1.0000024723938603,0.9999990186313533,0.9998208435442522
16.718359179589793,1.0321072191928153,0.9999509808778007,1.0000024576344242,0.9999990278520534,0.9998218029352217
16.728364182091045,1.03188144328527,0.9999535205119459,1.0000024428653274,0.9999990369864251,0.999822757188609
16.738369184592294,1.031653384196582,0.9999560394930954,1.0000024280881898,0.9999990460352735,0.999823706331926
16.748374187093546,1.0314230738287076,0.9999585377759614,1.0000024133046068,0.999999054999396,0.9998246503925373
16.758379189594798,1.0311905441810871,0.9999610153177685,1.0000023985161486,0.9999990638795828,0.9998255893976611
16.768384192096047,1.0309558273470603,0.9999634720782327,1.000002383724361,0.9999990726766167,0.9998265233743697
16.7783891945973,1.0307189555102831,0.999965908019541,1.000002368930766,0.9999990813912731,0.9998274523495907
16.788394197098548,1.0304799609411537,0.9999683231063304,1.0000023541368612,0.9999990900243205,0.999828376350107
16.7983991995998,1.030238875993241,0.9999707173056673,1.0000023393441206,0.99999909857652,0.9998292954025586
16.808404202101052,1.029995733099721,0.999973090587026,1.0000023245539948,0.9999991070486258,0.9998302095334425
16.8184092046023,1.0297505647698184,0.9999754429222681,1.000002309767911,0.999999115441385,0.9998311187691139
16.828414207103553,1.029503403585256,0.9999777742856221,1.0000022949872729,0.9999991237555378,0.9998320231357869
16.8384192096048,1.029254282196709,0.9999800846536611,1.000002280213462,0.9999991319918174,0.9998329226595353
16.848424212106053,1.0290032333202688,0.9999823740052831,1.000002265447837,0.9999991401509505,0.9998338173662931
16.858429214607302,1.0287502897339134,0.9999846423216893,1.0000022506917343,0.9999991482336567,0.9998347072818555
16.868434217108554,1.0284954842739849,0.999986889586363,1.0000022359464678,0.9999991562406491,0.9998355924318796
16.878439219609806,1.028238849831677,0.9999891157850488,1.0000022212133297,0.9999991641726341,0.999836472841885
